product_id,title,category,description,price
1,Wireless Mouse,Electronics,"Comfortable wireless mouse with ergonomic design and long battery life",12.99
2,Mechanical Keyboard,Electronics,"Tactile mechanical keyboard with RGB backlight and durable switches",59.99
3,Noise Cancelling Headphones,Electronics,"Over-ear headphones with active noise cancellation and deep bass",129.00
4,Stainless Steel Water Bottle,Home,"Leakproof 1L stainless steel bottle keeps drinks cold or hot",19.50
5,Cotton T-Shirt,Apparel,"Soft cotton T-shirt available in multiple colors and sizes",9.99
6,Yoga Mat,Fitness,"Non-slip yoga mat with extra cushioning for comfortable workouts",24.00
7,Running Shoes,Fitness,"Lightweight running shoes with breathable upper and cushioned sole",74.99
8,Coffee Maker,Home,"Compact drip coffee maker with 12-cup capacity and auto shut-off",39.99
9,Smartphone Stand,Electronics,"Adjustable phone stand for desks, compatible with most phones",7.49
10,LED Desk Lamp,Home,"Dimmable LED desk lamp with adjustable arm and eye-care mode",22.00
11,Stainless Cutlery Set,Home,"8-piece stainless steel cutlery set with dishwasher safe finish",29.99
12,Smart Watch,Electronics,"Fitness-tracking smart watch with heart-rate monitor and notifications",89.99
13,Leather Wallet,Apparel,"Genuine leather bifold wallet with multiple card slots and coin pocket",19.99
14,Electric Kettle,Home,"Fast-boil electric kettle with auto shut-off and 1.7L capacity",34.50
15,Backpack,Apparel,"Water-resistant backpack with laptop sleeve and multiple compartments",45.00
16,Waterproof Bluetooth Speaker,Electronics,"Portable speaker with waterproof design and 10-hour battery",49.99
17,Blender,Home,"High-speed blender for smoothies with stainless steel blades",54.00
18,Novel - The Silent Sea,Books,"Thrilling sci-fi novel about exploration and discovery",11.99
19,Cotton Socks (Pack of 5),Apparel,"Comfortable cotton socks with reinforced toes and heels",8.99
20,Dumbbell Set,Fitness,"Adjustable dumbbell set suitable for home strength training",59.99
21,Tablet Case,Electronics,"Shockproof tablet case with soft inner lining and stand feature",14.99
22,Desk Organizer,Home,"Wooden desk organizer with sections for pens, notes, and gadgets",12.50
23,Scented Candles,Home,"Set of 3 scented candles for relaxation and home fragrance",15.00
24,Graphic Hoodie,Apparel,"Comfortable hoodie with printed graphic and kangaroo pocket",29.00
25,Wireless Charger,Electronics,"Fast wireless charging pad compatible with Qi-enabled phones",18.75
